accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-3.663476519913003420e-03,-1.420148898991864441e-03,-9.814281094116182658e+00
4.152074268188963614e-03,3.115025858590566264e-03,-9.794067464065868478e+00
-2.781262942268067015e-03,-1.862304256608015175e-03,-9.800158388462309134e+00
1.251151768955670839e-02,5.516575206340976548e-03,-9.810637852103154088e+00
8.552628466676355165e-03,-2.540419003208843271e-03,-9.803197377646734267e+00
1.664960012514239912e-03,1.832804977811386925e-03,-9.811203479119580351e+00
-4.743636266330767196e-03,3.465365280066265083e-03,-9.805665473556334888e+00
2.757717090375008174e-04,-2.696948005236685011e-03,-9.794677097957521283e+00
-7.362049257683737913e-03,-6.368812978910023959e-03,-9.800235363959989954e+00
4.217194243600875213e-03,-1.658603433403728084e-03,-9.802158805062447300e+00
6.725851901399075745e-03,1.179678336109890330e-03,-9.799086689957441365e+00
1.399685064220337015e-04,4.122324755714637697e-03,-9.810364323322957603e+00
-6.624765519756137776e-03,-2.355753729753067797e-03,-9.809844287183794975e+00
-9.951059236715928055e-03,-6.075021831418343787e-03,-9.802794232825879917e+00
-8.713743013010913016e-03,1.942408163534286333e-04,-9.810238768947677102e+00
-3.300663331499040579e-03,-1.474611501291275871e-03,-9.798484918040285763e+00
-6.773069608616326225e-03,5.263892649928188575e-03,-9.792630583318924664e+00
2.154369860219433174e-03,2.972115498150722061e-03,-9.808366221511592542e+00
-7.534719693622481552e-04,-4.364615220717378910e-03,-9.798870348877969150e+00
-8.741412100447473743e-03,-4.910077282203857175e-03,-9.801613774155795156e+00
-1.162029693010778984e-02,-4.962208029954160750e-03,-9.802572440248852104e+00
-1.293209525273839966e-04,8.552612587081891149e-03,-9.802527256265696209e+00
-7.063936682341431447e-03,3.772765274739773005e-03,-9.799856026653097629e+00
4.265829609391853447e-03,1.687786841969041943e-03,-9.816977692295788316e+00
-5.713616727808254123e-03,2.261296437413639476e-03,-9.805525984450547128e+00
-9.217545243637850294e-04,-6.960697075345233589e-03,-9.808160289442026780e+00
7.406352065624955718e-03,-4.449554526422066190e-03,-9.806987433221296513e+00
5.677603307522555848e-03,-6.147796868477316615e-04,-9.794420518051950353e+00
6.388690404810313129e-04,3.825096633361721845e-04,-9.810290559265414601e+00
-2.380445549961188699e-03,-4.647623936930980748e-03,-9.822058742891490724e+00
7.418549082515045988e-03,5.002887287408910172e-03,-9.793412797436671369e+00
-5.653595376168772321e-03,2.028350591955195310e-03,-9.793567973450645781e+00
-8.064762113826064518e-03,-1.555865352661003507e-03,-9.790833609877854116e+00
7.572229501662014646e-03,9.011891679101876468e-03,-9.803855944711878934e+00
