gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
4.073330906545776742e+01,-7.405626112077980849e+01,-4.862691935582810210e-01,-1.074632916089963697e-01,-9.426182938250799934e-03,-3.279758155335128073e-02
4.073330260837931860e+01,-7.405627640773245446e+01,1.245622732964721591e+00,-3.261021218865876176e-02,-5.926645764547641693e-02,-2.170748654812253847e-02
4.073330895168227528e+01,-7.405625052677262943e+01,6.024691159706158095e-01,7.945847562171694245e-02,-4.154144024124905438e-02,6.626437984173580431e-02
4.073331122490954925e+01,-7.405625262198581993e+01,1.340158931984170021e+00,9.718709442590625636e-02,-7.002919034063366521e-02,1.500261845635688512e-02
4.073331885928851648e+01,-7.405625448310630077e+01,-2.489867841511232971e-01,-2.336801813743992484e-02,5.032355504975103561e-02,-7.588613748600900322e-02
4.073331153057264231e+01,-7.405626023624415666e+01,-2.300974572773773374e+00,1.385095989544487052e-02,-7.703948117298724252e-02,9.602490451967714280e-02
4.073332496990828844e+01,-7.405623910100536023e+01,1.611791361608371220e+00,-1.629747973041910380e-02,1.605769257097535221e-02,4.807061698104183461e-03
4.073333050236313113e+01,-7.405627372926413443e+01,-9.349957176770377909e-02,1.215523689613336872e-02,2.459800886914417783e-02,-6.872812300183894774e-02
4.073331357606597436e+01,-7.405626376954013779e+01,-1.560243754818352535e+00,-3.063125694086862860e-02,-1.068675046710638489e-02,1.171097329321630354e-01
4.073331162243201931e+01,-7.405625173845713505e+01,5.768497738051447943e-01,-6.564561619396751257e-02,-6.296788231670133462e-02,-1.051595909705128201e-01
4.073332767960377510e+01,-7.405626730011654502e+01,-1.000691879751966384e+00,5.512157592176716858e-02,-3.052937913147454538e-02,1.410024958342388085e-02
4.073331142621574230e+01,-7.405625625183286331e+01,-3.881050534937127705e-01,-1.707314260101514339e-02,3.448203212259772638e-02,-4.175612202722045474e-02
4.073330250820170306e+01,-7.405625173794270211e+01,-2.746379034977957101e-01,2.377426463155642156e-02,9.962013624081865470e-02,-3.627844075287968428e-02
4.073331671412947941e+01,-7.405626054983792983e+01,6.860918911892394112e-01,1.012781856737340197e-02,3.237074206948794414e-02,2.485561911496399906e-02
4.073332131804313860e+01,-7.405625644173144906e+01,-1.502376836010546501e+00,-1.894956353626990045e-03,2.825175395856451346e-02,5.110862313149871355e-02
4.073331332265073002e+01,-7.405628437106256001e+01,2.206625156144041977e-01,-1.586104319528182371e-02,1.108247895219735546e-02,-2.905236394471872458e-02
4.073333513184858390e+01,-7.405627144714947008e+01,-8.546644753839326425e-01,7.594730032016307197e-03,3.628463766100804844e-02,6.732893541480926280e-03
4.073333008066593663e+01,-7.405627204724177659e+01,1.282893018575751443e+00,-1.830522780732838153e-02,-2.381342723898055916e-02,-4.487466674837895658e-02
4.073331291263267673e+01,-7.405625178606582892e+01,-1.310334964953875914e-01,5.753630650373237065e-03,3.530273663227467135e-02,4.835911988396170841e-02
4.073333032142636512e+01,-7.405626607923444737e+01,-2.309534969220854439e+00,4.252343897795878708e-02,-5.244598482640943499e-02,-5.336959236291970859e-02
4.073331853205407072e+01,-7.405625243490955256e+01,-6.350690395709285285e-01,-2.786455180659865374e-02,-6.167788084633895468e-02,1.462112790574243183e-02
4.073330814080754436e+01,-7.405626495613769578e+01,1.949059503296207252e+00,4.513536590935540715e-02,5.722061251694852968e-03,-1.049124065027955688e-01
4.073332477521369555e+01,-7.405626809296028057e+01,-1.593896443527949236e+00,2.359500251559749559e-02,2.965982542735531510e-02,-8.261754685065042514e-02
4.073331612143534386e+01,-7.405629327628733449e+01,2.196284368466906722e-01,3.859820280442613494e-02,-8.187583970179587722e-02,3.757304682213926522e-02
4.073331793157923642e+01,-7.405626928050624258e+01,-9.048737917501692429e-02,-1.083368094897794315e-02,2.348889746473742726e-02,2.393667900705428314e-02
4.073332653034277939e+01,-7.405626118375286637e+01,9.993763229913262824e-01,-4.608904600991108914e-03,2.003413379841888567e-02,1.373059419818389582e-01
4.073331075119105549e+01,-7.405626710801692525e+01,-1.203440905714028425e-01,-1.649236335804338954e-02,-1.735632180238258840e-02,6.261010560940481751e-02
4.073331080621078115e+01,-7.405624318069425271e+01,-3.291681855437824655e+00,8.857983648138825425e-03,9.240562986963207770e-02,-6.895022665305446108e-02
4.073332637191601435e+01,-7.405625234361072273e+01,-7.713769580370603007e-01,4.167586685411268574e-03,-6.535480069782233226e-02,2.777019735457686087e-02
4.073331953957612939e+01,-7.405626403474543906e+01,-1.539105346105554828e+00,1.027685248447167215e-04,3.341057294891445345e-02,-3.330955226710907019e-03
4.073331630255625413e+01,-7.405625935587154629e+01,-8.555534381366193264e-01,5.067715959933279113e-02,-4.402116342252068021e-02,-2.079793880205634340e-02
4.073331624998878908e+01,-7.405624726738984975e+01,1.134181972077159539e+00,-1.038923489648804419e-02,-2.865102379302317259e-02,4.535542666446894938e-02
4.073333581672029169e+01,-7.405627668624897808e+01,-4.937713092483383970e-01,-3.044754427043820655e-02,-3.215494109687849072e-02,7.981392392412179487e-03
4.073332965158892449e+01,-7.405623208921507228e+01,2.565369046966616828e+00,6.485978348170525279e-03,3.035393388297839140e-02,4.195992503446584199e-02
4.073332099400516171e+01,-7.405625224904748904e+01,-1.181033232952884537e+00,5.181166247121343771e-02,3.624423704801392476e-02,2.632489871481634436e-02
4.073332133125823162e+01,-7.405623152312728052e+01,1.370324160922915757e+00,2.531427163137861189e-02,-2.667434811131545042e-02,-4.880071139097086341e-02
4.073332270103131947e+01,-7.405626623256934238e+01,-1.153997522181262392e+00,-8.753261684712777824e-03,-5.146005916957586621e-03,-6.638862745270944499e-02
4.073330888991820586e+01,-7.405625187702182188e+01,-3.091353874489848330e-01,1.223079167284051721e-02,7.588464440465431116e-02,1.849314755312737868e-02
4.073331891485891987e+01,-7.405625384210966899e+01,-1.255236612086440884e+00,6.843773915699370713e-02,-4.706144341397678482e-02,9.841154821792192850e-03
4.073332361427767268e+01,-7.405624919469491374e+01,-2.965482265452586974e-01,-1.408397968949926804e-01,-1.925270992013344840e-02,5.125500522645353579e-02
4.073331366881394899e+01,-7.405624433218360991e+01,9.068101060982778350e-01,-1.586915012775300809e-02,1.013228887683156887e-02,-9.793520400558705999e-03
4.073332317647300016e+01,-7.405624335962440341e+01,1.119767444880978902e+00,-3.593497272714249458e-02,3.609792664944998231e-02,7.041970321788362493e-04
4.073330850505301726e+01,-7.405628073794784427e+01,-3.245742782652359271e+00,-2.555691561517405355e-02,-6.423669977451820778e-02,-7.909301273922478281e-02
4.073331513138773374e+01,-7.405625933259577209e+01,-5.972844475592942182e-01,5.019490689253887361e-02,4.633869121984333234e-02,-4.545777921768506119e-02
4.073332201928892715e+01,-7.405625863029381151e+01,3.092740137035434600e+00,-4.968702518703024817e-02,7.763237999022762348e-02,-7.521563747255807786e-02
4.073331204377556958e+01,-7.405626808693007490e+01,-1.970350731294207236e+00,7.434030624044526969e-02,-5.120387475728008231e-02,9.154848987690755724e-02
4.073331613150870822e+01,-7.405626234949858144e+01,-9.343719392516953992e-02,4.891327863626165895e-02,1.431954883832461251e-02,-3.022989348173795929e-02
4.073331376825074557e+01,-7.405626360605137393e+01,1.036410222539958070e+00,-2.726131899463080793e-02,5.357178950790447702e-02,-1.939707738369748219e-02
4.073332006384631399e+01,-7.405624074530699374e+01,2.213510902746159970e-01,7.991570922067547933e-02,-3.063279607651829897e-02,-1.746152419737443187e-02
4.073331891936896199e+01,-7.405625584516616300e+01,-8.229537877239740951e-01,2.088490828824797821e-02,-3.292644652621356388e-02,1.176654090638535807e-02
4.073332034516276678e+01,-7.405627380289283224e+01,1.939325126314987324e+00,-2.574337298668825241e-02,-5.089738104163918364e-02,-9.558824514678956191e-03
4.073332006133449568e+01,-7.405622789051172106e+01,5.702761621531124980e-01,1.733780552676620831e-02,-6.792497610880501857e-02,-4.322342755713524248e-02
4.073331057344032757e+01,-7.405626110900563219e+01,-3.985335520004981147e-01,-2.684831588670488420e-02,-4.133071990181109295e-02,2.383613929922781538e-02
4.073331760425177350e+01,-7.405624416382762831e+01,-1.969890113069256432e-01,-4.644544741650825405e-03,3.984934357040397640e-02,4.591379340732174019e-02
4.073331107964086328e+01,-7.405628438678228065e+01,1.072568381872404109e+00,9.440677945844837965e-03,6.982096762439226473e-03,6.352375720809548543e-02
