gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
8.758918975513614591e-02,8.015635628012480682e-03,-3.397051104041265424e-02
7.191963380894500490e-02,3.931010474300811186e-02,-3.776597139388037511e-02
-2.425043602401075193e-02,6.124526830006740696e-02,5.371976484661070139e-02
1.213056935695085332e-02,-5.943847411800720626e-02,2.546336168363940930e-02
-2.133979538618659480e-02,6.424369230343068837e-02,4.430890415545718497e-02
1.058946630715497730e-02,-3.427258594827920640e-02,-3.426620684233203790e-02
4.231965160059426162e-02,-1.621330538973550506e-02,-7.202677037565416440e-02
-1.610732815405677143e-02,8.817235587978422551e-02,5.863753778427590463e-02
-1.677619339677659596e-02,7.814795265928915768e-02,-8.661368716820920521e-02
-2.088931129898639882e-02,-3.187230048339508709e-02,-9.144249300779197509e-02
1.583230372289197441e-02,3.261699922625019982e-02,-4.617912146711268193e-03
-8.770824109469376254e-03,-4.554712200674112393e-02,-3.072558990132008214e-02
6.254919826176422171e-02,4.476289991326592305e-02,4.434632405687043838e-02
3.427170781395238661e-03,-7.004809794352284680e-02,4.088888924388996496e-03
1.596493543257019492e-03,4.675041074578299705e-02,7.387349913291499370e-02
-7.073098496334413732e-02,-1.962260935260346645e-02,-5.205309406970349412e-02
-7.357462584180964049e-02,5.198387258610341101e-03,2.735394286107136266e-02
2.750030595900006258e-02,-1.153917280143782094e-02,-1.060494244287346066e-01
3.992344806507541755e-02,5.740480471099278920e-02,9.832926493232084161e-03
-4.656633740447628858e-03,1.840964185423124566e-02,-2.375468528123534859e-02
-6.242899361846911480e-03,4.612507640455709018e-02,-5.797725230874923447e-02
1.554187222298292030e-02,-1.663040158410324532e-03,-4.374237321486377887e-03
2.830499352549669789e-03,-1.278859504802456158e-02,-1.640667112029809555e-02
-4.871496552538131380e-02,4.691091721504283413e-02,6.386578257614596021e-02
3.536345928884046530e-02,-2.707260110294799557e-02,4.461647287746373092e-02
-1.971604959533853826e-02,4.279594025466631688e-03,3.729736705507035593e-02
-7.458388539200706477e-03,7.221567245204411900e-02,-2.874893223009691509e-02
3.408990875098338869e-02,-6.963716031696395858e-02,3.556219412375089158e-03
-1.600452023072560306e-02,-5.381017451207915220e-02,1.297900558687342665e-02
2.301792971402395142e-03,-6.983259069687428912e-03,2.021840703345354623e-02
7.680054421701451584e-02,4.809596819286805032e-04,1.559769030014231291e-02
4.245507140996656464e-02,-4.925709578417229728e-02,-8.037155320816301296e-03
