mag_x (uT),mag_y (uT),mag_z (uT)
1.658937353572185458e+01,1.278613811531603872e+01,4.706426496847787888e+01
1.645211453970009430e+01,1.230782882859056215e+01,4.671065686659264315e+01
1.634015400448287281e+01,1.267322398247837967e+01,4.666961109671194663e+01
1.617843515773947516e+01,1.250406209725791484e+01,4.731033664587298659e+01
1.663654629431545473e+01,1.240144087097766956e+01,4.727300920306188914e+01
1.650027319838994444e+01,1.265595718201720388e+01,4.703877347678146492e+01
1.663414107689581911e+01,1.277778819719216052e+01,4.720883243667869777e+01
1.647000000829889643e+01,1.256059430766096696e+01,4.710021660383404907e+01
1.635414002281228107e+01,1.256454883929406563e+01,4.693708016487682499e+01
1.648090961851166369e+01,1.225150201314301412e+01,4.700596091923472386e+01
1.646397932503163375e+01,1.239970540900429619e+01,4.716580369166554476e+01
1.649146643344077034e+01,1.203284035606314895e+01,4.721680556635254078e+01
1.621059876344935091e+01,1.268311522316538209e+01,4.698363535711195738e+01
1.654061015276900548e+01,1.285003761480798268e+01,4.680185257574163415e+01
1.650463749697103921e+01,1.236453890495951491e+01,4.695793344276666659e+01
1.635704735418129019e+01,1.271468486698735845e+01,4.716910807549945872e+01
1.678150003328728701e+01,1.267840983537777788e+01,4.693224294038650868e+01
1.630420799103461604e+01,1.288452875669150899e+01,4.693876950172604978e+01
1.613880820089030621e+01,1.237603790963887107e+01,4.660997378397128443e+01
1.613707659838358666e+01,1.226463479033512805e+01,4.688870381869865156e+01
1.635520932940871219e+01,1.242863504612183689e+01,4.672941509031537066e+01
1.658622595764093788e+01,1.269185986275524236e+01,4.724219563348864170e+01
1.643489856943472205e+01,1.249261610025820879e+01,4.679567929070790200e+01
1.665607717344401095e+01,1.242043060575682922e+01,4.699026501897215269e+01
1.671306488091010678e+01,1.279778239684349650e+01,4.715002103515520560e+01
1.638849659848898455e+01,1.280715859604640983e+01,4.701774480204753104e+01
1.636594726713255454e+01,1.248572467854087442e+01,4.702401221364480222e+01
1.666464057108918340e+01,1.243002502937231490e+01,4.695984096825240073e+01
1.656832994432945227e+01,1.251396582316955630e+01,4.719290463663546831e+01
1.663048495800606474e+01,1.224825828693646912e+01,4.706454044494327604e+01
1.689230827319655859e+01,1.266226029017706445e+01,4.738748393435135853e+01
1.649611176652557987e+01,1.233752548264742011e+01,4.680175563559681962e+01
1.699084037879918441e+01,1.282947266512538498e+01,4.676524484452099273e+01
1.671653827812203374e+01,1.257811069358250400e+01,4.717453996814909800e+01
1.673493094650857316e+01,1.253587186044270751e+01,4.692002790809444690e+01
1.650116650434605958e+01,1.256060810830693342e+01,4.716696391241363528e+01
1.646348770174990150e+01,1.281932011720519959e+01,4.658045830754690542e+01
1.628403040517516587e+01,1.266086087360801571e+01,4.701195454861005629e+01
1.666837684119887442e+01,1.251095709074696316e+01,4.696462128559839044e+01
1.657232709948209504e+01,1.251139871137643667e+01,4.700815468748128012e+01
1.653054776738860454e+01,1.249758116540571962e+01,4.722090978846381404e+01
1.631563295616035347e+01,1.233964272919750549e+01,4.722022209241390556e+01
1.661541874827037191e+01,1.250376412506022739e+01,4.644533372128845627e+01
1.663119698732152685e+01,1.233594026047676451e+01,4.706827533655068407e+01
1.678102365939355067e+01,1.245442922144022546e+01,4.689235539473597925e+01
1.704138510167666354e+01,1.281845744790334862e+01,4.715031220001993972e+01
1.667272943564757171e+01,1.225142366476694633e+01,4.745531769505275577e+01
1.645387183953708998e+01,1.277255430914643419e+01,4.708704668728411491e+01
1.651180279815456942e+01,1.273499085972527212e+01,4.725646959045519679e+01
1.647792185273089771e+01,1.259154503937989134e+01,4.706040552911454711e+01
1.644649348925902643e+01,1.287096309149217532e+01,4.669812300775330982e+01
1.657678699643998854e+01,1.268380174346493305e+01,4.701421756777023120e+01
1.665454407384068602e+01,1.266755105371091972e+01,4.697641439872612068e+01
1.633468943018743147e+01,1.243352679945334494e+01,4.700555292498043514e+01
1.639303234891028538e+01,1.251384616033668529e+01,4.681219696105746664e+01
1.643144586593071921e+01,1.287240010885377473e+01,4.721276953529569198e+01
1.667433516258753912e+01,1.315046298516363699e+01,4.722156836817358538e+01
1.659831260730370062e+01,1.218219964555461310e+01,4.682677927983428390e+01
1.653679175789294575e+01,1.249895219275261482e+01,4.697977672838297991e+01
1.675178145181803302e+01,1.261125225428762242e+01,4.676404971320635440e+01
1.642784870957040866e+01,1.258809108662863352e+01,4.683688248625630735e+01
1.620991515892154666e+01,1.267645017317731515e+01,4.703322404840497484e+01
1.629503424404435563e+01,1.223774004865358833e+01,4.661424843930885942e+01
1.624692117939303060e+01,1.245207263390638275e+01,4.677520402428932300e+01
1.671908593726456971e+01,1.265901284296320561e+01,4.713190691195126902e+01
1.648190717207084077e+01,1.251424855070812292e+01,4.683677892631942541e+01
1.659746735347252056e+01,1.256301881687964084e+01,4.695951045864975271e+01
1.641956331011800074e+01,1.261728112861374207e+01,4.660514279125501957e+01
1.672915311204236843e+01,1.262559753133816010e+01,4.726635997956353918e+01
1.642023688646003166e+01,1.241711528546219512e+01,4.671719336342591333e+01
1.663702095548989490e+01,1.260503031664854134e+01,4.685337083907634792e+01
1.654752410862315060e+01,1.267496331630136019e+01,4.670265118216572375e+01
1.626073068428211954e+01,1.288295513156718286e+01,4.691109133592070890e+01
1.632367971873149770e+01,1.249308607972924356e+01,4.688726214051175134e+01
1.644909026810040231e+01,1.257242721002686281e+01,4.688900490216127537e+01
1.647074719643360652e+01,1.228242112460194946e+01,4.720725612901486556e+01
1.669491779724112845e+01,1.239047608708218817e+01,4.723075526101702337e+01
1.676480279189008371e+01,1.253355684794410863e+01,4.649053944893568513e+01
1.648121871391306215e+01,1.218652186182243113e+01,4.662730223852950928e+01
1.636130821255484236e+01,1.231957084194775476e+01,4.685552437436205508e+01
1.672442407384610519e+01,1.243334330949224054e+01,4.707500779837807414e+01
1.625207134932160002e+01,1.273795821133299100e+01,4.686847760507674820e+01
1.632811166187906693e+01,1.262765885181970837e+01,4.689937346213246627e+01
1.640730668920417656e+01,1.277731657064863668e+01,4.724468362100760288e+01
1.630056386404902824e+01,1.255633940267874493e+01,4.686060889616095437e+01
1.661749980348739086e+01,1.255933176037303056e+01,4.708391125832277879e+01
1.650757933665942900e+01,1.215245429346257389e+01,4.686017957995553473e+01
1.649510392483593790e+01,1.258599607557082045e+01,4.718241849084073181e+01
1.667427423190433089e+01,1.238920090156276821e+01,4.672051787067359641e+01
1.665570027552988464e+01,1.246322665788488315e+01,4.693213096028878084e+01
1.672873742707731637e+01,1.228384002363917737e+01,4.676005801723776045e+01
1.633768184545735025e+01,1.268096015484852757e+01,4.677241362060963326e+01
1.638551537995782326e+01,1.248568040185485195e+01,4.702771821695873200e+01
1.647963974111681296e+01,1.233840501498951703e+01,4.684032324818056026e+01
1.676244554769287376e+01,1.252446342940574020e+01,4.690048579004617579e+01
1.631758440298693813e+01,1.285699373233551590e+01,4.676180740053221285e+01
1.683672665665177703e+01,1.285689562264068542e+01,4.713509944353189240e+01
1.663984107311963001e+01,1.237454523589914857e+01,4.696229882906447983e+01
1.652241488198407282e+01,1.240235627320328504e+01,4.683262162962945041e+01
1.657692178250468729e+01,1.277147849161653426e+01,4.680108507134177387e+01
1.661782325605145516e+01,1.253654125605087799e+01,4.679049916543624477e+01
1.635956629105213267e+01,1.263314838709247567e+01,4.694482933603707409e+01
1.659729403500453415e+01,1.238203487743378162e+01,4.699274074290035230e+01
1.658244052808399616e+01,1.266267471860700589e+01,4.711039083957889773e+01
1.641241881633316879e+01,1.288217321636953017e+01,4.690074539046778312e+01
1.676890647455016392e+01,1.233234538085374865e+01,4.653729323907694493e+01
1.671728890060327188e+01,1.250485759581802014e+01,4.706126022889139193e+01
1.628818073067916217e+01,1.256370914565509267e+01,4.692366276270814751e+01
1.654239523288687508e+01,1.264621306277035728e+01,4.739136462792404814e+01
1.662541520506699300e+01,1.254367639308614635e+01,4.704281346613714021e+01
1.612815336973113389e+01,1.260639180733571685e+01,4.701783364299679846e+01
