ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
1.650998770427246143e+01,1.253303288038357977e+01,4.697676015516697134e+01
